IE_XML_ID;Цвет;дет_описание;пол;тг;блок;сезонность;Группировка по колодке (сайт);Наименование маркетинг;Материал верха (маркетинг);Материал верха фильтр;Группировка по моделям (сайт) ;Материал подкладки (маркетинг);Материал подкладки фильтр;Цвет (маркетинг)
500123477;черный;;Женский;Сабо;Обувь;Лето;221150;Женские сабо кожа;натуральная кожа;натуральная кожа;98115;натуральная кожа;натуральная кожа;черный
500123478;разноцветный;;Женский;Сандалии;Обувь;Лето;221150;Женские сандалии;натуральная кожа;натуральная кожа;98116;натуральная кожа;натуральная кожа;разноцветный
500123479;разноцветный;;Женский;Сандалии;Обувь;Лето;221150;Женские сандалии из кожи;натуральная кожа;натуральная кожа;98116;натуральная кожа;натуральная кожа;белый / оранжевый / серый
500123483;белый;;Женский;Сандалии;Обувь;Лето;221150;Белые женские сандалии;натуральная кожа;натуральная кожа;98117;натуральная кожа;натуральная кожа;белый
500123484;черный;;Женский;Сандалии;Обувь;Лето;221150;Черные женские сандалии;натуральная кожа;натуральная кожа;98118;натуральная кожа;натуральная кожа;черный
500123485;розовый;;Женский;Сандалии;Обувь;Лето;221150;Розовые женские сандалии;натуральная кожа;натуральная кожа;98118;натуральная кожа;натуральная кожа;розовый
500123487;серебряный;;Женский;Босоножки;Обувь;Лето;221151;Серебряные женские босоножки;натуральная кожа;натуральная кожа;98119;натуральная кожа;натуральная кожа;серебряный
500123490;красный;;Женский;Босоножки;Обувь;Лето;221151;Красные женские босоножки;замша;замша;98120;натуральная кожа;натуральная кожа;красный
500123494;розовый;;Женский;Туфли;Обувь;Лето;221151;Розовые туфли замша;замша;замша;98121;натуральная кожа;натуральная кожа;розовый
500123495;черный;;Женский;Туфли;Обувь;Лето;221151;Женские туфли замша;замша;замша;98121;натуральная кожа;натуральная кожа;черный
500123496;бежевый;;Женский;Туфли;Обувь;Лето;221151;Бежевые женские туфли;натуральная кожа;натуральная кожа;98121;натуральная кожа;натуральная кожа;бежевый
500123492;черный;;Женский;Босоножки;Обувь;Лето;221151;Лаковые босоножки на каблуке;лакированная кожа;лаковая кожа;98122;натуральная кожа;натуральная кожа;черный
500123493;бежевый;;Женский;Босоножки;Обувь;Лето;221151;Бежевые босоножки на каблуке;лакированная кожа;лаковая кожа;98123;натуральная кожа;натуральная кожа;бежевый
500123498;черный;;Женский;Туфли;Обувь;Лето;221152;Женские туфли кожа;натуральная кожа;натуральная кожа;98124;натуральная кожа;натуральная кожа;черный
500123499;бежевый;;Женский;Туфли;Обувь;Лето;221152;Бежевые женские туфли;натуральная кожа;натуральная кожа;98124;натуральная кожа;натуральная кожа;бежевый
500123504;серый;;Женский;Туфли;Обувь;Всесезонная;221152;Женские туфли металлик;натуральная кожа;натуральная кожа;98125;натуральная кожа;натуральная кожа;никель
500123505;черный;;Женский;Туфли;Обувь;Всесезонная;221152;Туфли из натуральной кожи;натуральная кожа;натуральная кожа;98125;натуральная кожа;натуральная кожа;черный
500123854;бежевый;;Женский;Туфли;Обувь;Всесезонная;221152;Бежевые туфли кожа;натуральная кожа;натуральная кожа;98126;натуральная кожа;натуральная кожа;бежевый
500123518;молочный;;Женский;Босоножки;Обувь;Лето;221154;Молочные женские босоножки;натуральная кожа;натуральная кожа;98127;натуральная кожа;натуральная кожа;молочный
500123519;коричневый;;Женский;Босоножки;Обувь;Лето;221154;Бронзовые женские босоножки;натуральная кожа;натуральная кожа;98127;натуральная кожа;натуральная кожа;бронзовый
500123521;розовый;;Женский;Босоножки;Обувь;Лето;221154;Розовые женские босоножки;натуральная кожа;натуральная кожа;98127;натуральная кожа;натуральная кожа;розовый
500123520;разноцветный;;Женский;Босоножки;Обувь;Лето;221154;Женские босоножки;натуральная кожа;натуральная кожа;98128;натуральная кожа;натуральная кожа;разноцветный
500123522;голубой;;Женский;Босоножки;Обувь;Лето;221154;Голубые женские босоножки;натуральная кожа;натуральная кожа;98128;натуральная кожа;натуральная кожа;голубой
500123855;черный;;Женский;Босоножки;Обувь;Лето;221154;Кожаные босоножки;натуральная кожа;натуральная кожа;98128;натуральная кожа;натуральная кожа;черный
500123530;зеленый;;Женский;Туфли;Обувь;Лето;221155;Зеленые женские туфли;замша;замша;98129;натуральная кожа;натуральная кожа;зеленый
500123535;черный;;Женский;Туфли;Обувь;Лето;221155;Женские туфли кожа;натуральная кожа;натуральная кожа;98130;натуральная кожа;натуральная кожа;черный
500123539;бежевый;;Женский;Туфли;Обувь;Лето;221155;Бежевые туфли на танкетке;натуральная кожа;натуральная кожа;98130;натуральная кожа;натуральная кожа;бежевый
500123538;голубой;;Женский;Туфли;Обувь;Лето;221155;Лаковые туфли на танкетке;лакированная кожа;лаковая кожа;98131;натуральная кожа;натуральная кожа;голубой
500123540;розовый;;Женский;Туфли;Обувь;Лето;221155;Лаковые туфли на танкетке;лакированная кожа;лаковая кожа;98131;натуральная кожа;натуральная кожа;розовый
500123856;бежевый;;Женский;Туфли;Обувь;Лето;221155;Бежевые туфли на танкетке;замша;замша;98132;натуральная кожа;натуральная кожа;бежевый
500123562;хаки;;Женский;Босоножки;Обувь;Лето;221159;Женские босоножки;замша;замша;98133;натуральная кожа;натуральная кожа;хаки
500123563;серый;;Женский;Босоножки;Обувь;Лето;221159;Серые женские босоножки;замша;замша;98133;натуральная кожа;натуральная кожа;серый
500123895;черный;;Женский;Босоножки;Обувь;Лето;221159;Босоножки на каблуке;замша;замша;98133;натуральная кожа;натуральная кожа;черный
500123564;черный;;Женский;Босоножки;Обувь;Лето;221159;Кожаные босоножки;натуральная кожа;натуральная кожа;98134;натуральная кожа;натуральная кожа;черный
500123565;бежевый;;Женский;Босоножки;Обувь;Лето;221159;Бежевые женские босоножки;натуральная кожа;натуральная кожа;98134;натуральная кожа;натуральная кожа;бежевый
500123571;розовый;;Женский;Туфли;Обувь;Всесезонная;221161;Женские туфли из замши;замша;замша;98135;натуральная кожа;натуральная кожа;бледно-розовый
500123572;розовый;;Женский;Туфли;Обувь;Всесезонная;221161;Розовые туфли на каблуке;замша;замша;98135;натуральная кожа;натуральная кожа;розовый
500123573;белый;;Женский;Туфли;Обувь;Всесезонная;221161;Белые женские туфли;натуральная кожа;натуральная кожа;98135;натуральная кожа;натуральная кожа;белый
