IE_XML_ID;сезонность;Группировка по колодке (сайт);Наименование маркетинг;Материал верха (маркетинг);Материал верха фильтр;Группировка по моделям (сайт) ;Материал подкладки (маркетинг);Материал подкладки фильтр;Цвет (маркетинг);Цвет (фильтр)
500123913;Всесезонная;221222;Синие мужские туфли;натуральная кожа;натуральная кожа;98202;натуральная кожа;натуральная кожа;синий;синий
500123914;Всесезонная;221222;Черные мужские туфли;натуральная кожа;натуральная кожа;98202;натуральная кожа;натуральная кожа;черный;черный
500123931;Всесезонная;221223;Коричневые мужские полуботинки;натуральная кожа;натуральная кожа;98203;натуральная кожа;натуральная кожа;коричневый;коричневый
500123932;Всесезонная;221223;Черные мужские туфли;натуральная кожа;натуральная кожа;98203;натуральная кожа;натуральная кожа;черный;черный
500123916;Всесезонная;221224;Кожаные мужские туфли;натуральная кожа;натуральная кожа;98204;натуральная кожа;натуральная кожа;черный;черный
500123917;Всесезонная;221224;Синие мужские полуботинки;натуральная кожа;натуральная кожа;98205;натуральная кожа;натуральная кожа;синий;синий
500123918;Всесезонная;221224;Черные мужские полуботинки;натуральная кожа;натуральная кожа;98206;натуральная кожа;натуральная кожа;черный;черный
500123923;Всесезонная;221225;Синие мужские полуботинки;натуральная кожа;натуральная кожа;98207;натуральная кожа;натуральная кожа;синий;синий
500123924;Всесезонная;221225;Черные мужские туфли;натуральная кожа;натуральная кожа;98208;натуральная кожа;натуральная кожа;черный;черный
500123925;Всесезонная;221225;Синие мужские туфли;натуральная кожа;натуральная кожа;98208;натуральная кожа;натуральная кожа;синий;синий
500123933;Всесезонная;221226;Черные мужские туфли;натуральная кожа;натуральная кожа;98209;натуральная кожа;натуральная кожа;черный;черный
500123934;Всесезонная;221226;Коричневые мужские туфли;натуральная кожа;натуральная кожа;98209;натуральная кожа;натуральная кожа;коричневый;коричневый
500123935;Всесезонная;221227;Синие мужские туфли;натуральная кожа;натуральная кожа;98210;натуральная кожа;натуральная кожа;синий;синий
500123936;Всесезонная;221227;Черные мужские туфли;натуральная кожа;натуральная кожа;98210;натуральная кожа;натуральная кожа;черный;черный
500123937;Всесезонная;221227;Коричневые мужские полуботинки;натуральная кожа;натуральная кожа;98210;натуральная кожа;натуральная кожа;коричневый;коричневый
500123983;Всесезонная;221228;Мужские полуботинки из кожи;натуральная кожа;натуральная кожа;98211;натуральная кожа;натуральная кожа;темно-синий;синий
500123982;Всесезонная;221228;Коричневые мужские полуботинки;натуральная кожа;натуральная кожа;98211;натуральная кожа;натуральная кожа;коричневый;коричневый
500123984;Всесезонная;221229;Черные мужские полуботинки;натуральная кожа;натуральная кожа;98212;натуральная кожа;натуральная кожа;черный;черный
500123985;Всесезонная;221229;Коричневые мужские полуботинки;натуральная кожа;натуральная кожа;98212;натуральная кожа;натуральная кожа;коричневый;коричневый
500123987;Всесезонная;221230;Черные мужские мокасины;натуральная кожа;натуральная кожа;98213;натуральная кожа;натуральная кожа;черный;черный
500123986;Всесезонная;221230;Мужские мокасины из кожи;натуральная кожа;натуральная кожа;98213;натуральная кожа;натуральная кожа;темно-синий;синий
500123988;Всесезонная;221231;Черные мужские мокасины;натуральная кожа;натуральная кожа;98214;натуральная кожа;натуральная кожа;черный;черный
500123989;Всесезонная;221231;Мужские мокасины из кожи;натуральная кожа;натуральная кожа;98214;натуральная кожа;натуральная кожа;темно-серый;серый
500123990;Всесезонная;221232;Бежевые мужские мокасины;натуральная кожа;натуральная кожа;98215;натуральная кожа;натуральная кожа;бежевый;бежевый
500123991;Всесезонная;221232;Мужские кожаные мокасины;натуральная кожа;натуральная кожа;98215;натуральная кожа;натуральная кожа;темно-синий;синий
500123992;Всесезонная;221233;Черные мужские кеды;натуральная кожа;натуральная кожа;98216;натуральная кожа;натуральная кожа;черный;черный
500123993;Всесезонная;221233;Мужские кожаные кеды;натуральная кожа;натуральная кожа;98216;натуральная кожа;натуральная кожа;темно-синий;синий
500123995;Всесезонная;221234;Черные мужские полуботинки;натуральная кожа;натуральная кожа;98217;натуральная кожа;натуральная кожа;черный;черный
500123994;Всесезонная;221234;Мужские кожаные полуботинки;натуральная кожа;натуральная кожа;98217;натуральная кожа;натуральная кожа;темно-синий;синий
500122743;Всесезонная;221300;Розовые женские кеды;экокожа;экокожа;98218;натуральная кожа;натуральная кожа;розовый;розовый
500122744;Всесезонная;221300;Бежевые женские кеды;экокожа;экокожа;98218;натуральная кожа;натуральная кожа;бежевый;бежевый
500122745;Всесезонная;221300;Голубые женские кеды;экокожа;экокожа;98218;натуральная кожа;натуральная кожа;голубой;голубой
500122746;Всесезонная;221301;Белые женские кроссовки;текстиль;текстиль;98219;текстиль;текстиль;белый;белый
500122747;Всесезонная;221301;Коралловые женские кроссовки;текстиль;текстиль;98219;текстиль;текстиль;коралловый;оранжевый
500124125;Всесезонная;221301;Зеленые женские кроссовки;текстиль;текстиль;98219;текстиль;текстиль;зеленый;зеленый
500124114;Всесезонная;221303;Розовые женские кроссовки;текстиль;текстиль;98220;текстиль;текстиль;розовый;розовый
